video_id,ground_truth,exp56_pred,exp56_correct,exp57_pred,exp57_correct,transition_status,road_structure_response,junction_crossing_response,reason
video_0134.mp4,JAYWALKING,JAYWALKING,✓,JAYWALKING,✓,UNCHANGED,PUBLIC_STREET,UNREGULATED_MIDBLOCK,Confirmed public roadway crossing (unanimous VLM + public street)
video_0140.mp4,COMPLIANT,COMPLIANT,✓,COMPLIANT,✓,UNCHANGED,PUBLIC_STREET,LEGAL_JUNCTION_CROSSING,Compliant consensus
video_0143.mp4,COMPLIANT,COMPLIANT,✓,COMPLIANT,✓,UNCHANGED,PUBLIC_STREET,LEGAL_JUNCTION_CROSSING,Compliant consensus
video_0156.mp4,COMPLIANT,COMPLIANT,✓,COMPLIANT,✓,UNCHANGED,PUBLIC_STREET,LEGAL_JUNCTION_CROSSING,Marked crosswalk detected
video_0166.mp4,JAYWALKING,JAYWALKING,✓,JAYWALKING,✓,UNCHANGED,PUBLIC_STREET,UNREGULATED_MIDBLOCK,Confirmed public roadway crossing (unanimous VLM + public street)
video_0172.mp4,COMPLIANT,COMPLIANT,✓,COMPLIANT,✓,UNCHANGED,PUBLIC_STREET,LEGAL_JUNCTION_CROSSING,Compliant consensus
video_0173.mp4,COMPLIANT,COMPLIANT,✓,COMPLIANT,✓,UNCHANGED,PUBLIC_STREET,LEGAL_JUNCTION_CROSSING,Compliant consensus
video_0179.mp4,COMPLIANT,COMPLIANT,✓,COMPLIANT,✓,UNCHANGED,PUBLIC_STREET,LEGAL_JUNCTION_CROSSING,Compliant consensus
video_0183.mp4,COMPLIANT,JAYWALKING,✗,JAYWALKING,✗,UNCHANGED,PUBLIC_STREET,UNREGULATED_MIDBLOCK,Confirmed public roadway crossing (unanimous VLM + public street)
video_0196.mp4,COMPLIANT,COMPLIANT,✓,COMPLIANT,✓,UNCHANGED,PUBLIC_STREET,LEGAL_JUNCTION_CROSSING,Compliant consensus
video_0197.mp4,COMPLIANT,COMPLIANT,✓,COMPLIANT,✓,UNCHANGED,PUBLIC_STREET,LEGAL_JUNCTION_CROSSING,Compliant consensus
video_0201.mp4,JAYWALKING,JAYWALKING,✓,JAYWALKING,✓,UNCHANGED,PUBLIC_STREET,UNREGULATED_MIDBLOCK,Confirmed public roadway crossing (unanimous VLM + public street)
video_0205.mp4,COMPLIANT,COMPLIANT,✓,COMPLIANT,✓,UNCHANGED,PUBLIC_STREET,LEGAL_JUNCTION_CROSSING,Marked crosswalk detected
video_0215.mp4,COMPLIANT,COMPLIANT,✓,COMPLIANT,✓,UNCHANGED,PUBLIC_STREET,LEGAL_JUNCTION_CROSSING,Compliant consensus
video_0218.mp4,JAYWALKING,COMPLIANT,✗,JAYWALKING,✓,RECOVERED (SUCCESS),PUBLIC_STREET,UNREGULATED_MIDBLOCK,Confirmed public roadway crossing (unanimous VLM + public street)
video_0222.mp4,JAYWALKING,JAYWALKING,✓,JAYWALKING,✓,UNCHANGED,PUBLIC_STREET,UNREGULATED_MIDBLOCK,Confirmed public roadway crossing (unanimous VLM + public street)
video_0226.mp4,COMPLIANT,COMPLIANT,✓,COMPLIANT,✓,UNCHANGED,PUBLIC_STREET,LEGAL_JUNCTION_CROSSING,Compliant consensus
video_0228.mp4,COMPLIANT,COMPLIANT,✓,COMPLIANT,✓,UNCHANGED,PUBLIC_STREET,LEGAL_JUNCTION_CROSSING,Compliant consensus
video_0234.mp4,COMPLIANT,COMPLIANT,✓,COMPLIANT,✓,UNCHANGED,PUBLIC_STREET,LEGAL_JUNCTION_CROSSING,Compliant consensus
video_0242.mp4,COMPLIANT,COMPLIANT,✓,COMPLIANT,✓,UNCHANGED,PUBLIC_STREET,LEGAL_JUNCTION_CROSSING,Compliant consensus
video_0248.mp4,JAYWALKING,JAYWALKING,✓,JAYWALKING,✓,UNCHANGED,PUBLIC_STREET,LEGAL_JUNCTION_CROSSING,Confirmed public roadway crossing (unanimous VLM + public street)
video_0255.mp4,COMPLIANT,COMPLIANT,✓,COMPLIANT,✓,UNCHANGED,PUBLIC_STREET,LEGAL_JUNCTION_CROSSING,Compliant consensus
video_0257.mp4,COMPLIANT,COMPLIANT,✓,COMPLIANT,✓,UNCHANGED,PUBLIC_STREET,LEGAL_JUNCTION_CROSSING,Compliant consensus
video_0259.mp4,COMPLIANT,COMPLIANT,✓,COMPLIANT,✓,UNCHANGED,PUBLIC_STREET,LEGAL_JUNCTION_CROSSING,Marked crosswalk detected
video_0260.mp4,COMPLIANT,COMPLIANT,✓,COMPLIANT,✓,UNCHANGED,PUBLIC_STREET,LEGAL_JUNCTION_CROSSING,Compliant consensus
video_0267.mp4,COMPLIANT,COMPLIANT,✓,COMPLIANT,✓,UNCHANGED,PUBLIC_STREET,LEGAL_JUNCTION_CROSSING,Compliant consensus
video_0269.mp4,COMPLIANT,COMPLIANT,✓,COMPLIANT,✓,UNCHANGED,PUBLIC_STREET,LEGAL_JUNCTION_CROSSING,Compliant consensus
video_0273.mp4,JAYWALKING,JAYWALKING,✓,JAYWALKING,✓,UNCHANGED,PUBLIC_STREET,UNREGULATED_MIDBLOCK,Confirmed public roadway crossing (unanimous VLM + public street)
video_0275.mp4,COMPLIANT,COMPLIANT,✓,COMPLIANT,✓,UNCHANGED,PUBLIC_STREET,LEGAL_JUNCTION_CROSSING,Compliant consensus
video_0276.mp4,COMPLIANT,JAYWALKING,✗,JAYWALKING,✗,UNCHANGED,PUBLIC_STREET,UNREGULATED_MIDBLOCK,Confirmed public roadway crossing (unanimous VLM + public street)
video_0277.mp4,COMPLIANT,COMPLIANT,✓,COMPLIANT,✓,UNCHANGED,PUBLIC_STREET,LEGAL_JUNCTION_CROSSING,Compliant consensus
video_0283.mp4,JAYWALKING,JAYWALKING,✓,JAYWALKING,✓,UNCHANGED,PUBLIC_STREET,UNREGULATED_MIDBLOCK,Confirmed public roadway crossing (unanimous VLM + public street)
video_0290.mp4,COMPLIANT,COMPLIANT,✓,COMPLIANT,✓,UNCHANGED,PUBLIC_STREET,LEGAL_JUNCTION_CROSSING,Compliant consensus
video_0295.mp4,JAYWALKING,JAYWALKING,✓,JAYWALKING,✓,UNCHANGED,PUBLIC_STREET,UNREGULATED_MIDBLOCK,Confirmed public roadway crossing (unanimous VLM + public street)
video_0299.mp4,COMPLIANT,COMPLIANT,✓,COMPLIANT,✓,UNCHANGED,PUBLIC_STREET,LEGAL_JUNCTION_CROSSING,Compliant consensus
video_0301.mp4,COMPLIANT,COMPLIANT,✓,COMPLIANT,✓,UNCHANGED,PUBLIC_STREET,LEGAL_JUNCTION_CROSSING,Compliant consensus
video_0302.mp4,COMPLIANT,COMPLIANT,✓,COMPLIANT,✓,UNCHANGED,PUBLIC_STREET,LEGAL_JUNCTION_CROSSING,Compliant consensus
video_0303.mp4,COMPLIANT,COMPLIANT,✓,COMPLIANT,✓,UNCHANGED,PUBLIC_STREET,LEGAL_JUNCTION_CROSSING,Compliant consensus
video_0306.mp4,COMPLIANT,COMPLIANT,✓,COMPLIANT,✓,UNCHANGED,PUBLIC_STREET,LEGAL_JUNCTION_CROSSING,Compliant consensus
video_0310.mp4,COMPLIANT,COMPLIANT,✓,COMPLIANT,✓,UNCHANGED,PUBLIC_STREET,LEGAL_JUNCTION_CROSSING,Compliant consensus
video_0315.mp4,COMPLIANT,COMPLIANT,✓,COMPLIANT,✓,UNCHANGED,PUBLIC_STREET,LEGAL_JUNCTION_CROSSING,Compliant consensus
video_0324.mp4,JAYWALKING,JAYWALKING,✓,JAYWALKING,✓,UNCHANGED,PUBLIC_STREET,UNREGULATED_MIDBLOCK,Confirmed public roadway crossing (unanimous VLM + public street)
video_0326.mp4,COMPLIANT,JAYWALKING,✗,JAYWALKING,✗,UNCHANGED,PUBLIC_STREET,LEGAL_JUNCTION_CROSSING,Confirmed public roadway crossing (unanimous VLM + public street)
