clip_id,clip_name,ground_truth,prediction,is_correct,failure_type,confidence,reason,elapsed_seconds,video_path,notes
video_0190,video_0190.mp4,compliant,compliant,True,CORRECT,medium,"Vote margin (1 jaywalking vs 2 compliant, min_req=2)",4.175,data/raw_clips/video_0190.mp4,
video_0191,video_0191.mp4,compliant,compliant,True,CORRECT,medium,"Vote margin (1 jaywalking vs 2 compliant, min_req=2)",4.132,data/raw_clips/video_0191.mp4,
video_0198,video_0198.mp4,compliant,compliant,True,CORRECT,medium,"Vote margin (1 jaywalking vs 2 compliant, min_req=2)",4.058,data/raw_clips/video_0198.mp4,
video_0212,video_0212.mp4,compliant,compliant,True,CORRECT,medium,"Vote margin (1 jaywalking vs 2 compliant, min_req=2)",4.222,data/raw_clips/video_0212.mp4,
video_0227,video_0227.mp4,compliant,jaywalking,False,FP,medium,"Vote margin (2 jaywalking vs 1 compliant, min_req=2)",4.12,data/raw_clips/video_0227.mp4,
video_0238,video_0238.mp4,compliant,jaywalking,False,FP,medium,"Vote margin (2 jaywalking vs 1 compliant, min_req=2)",4.176,data/raw_clips/video_0238.mp4,
video_0240,video_0240.mp4,compliant,compliant,True,CORRECT,medium,"Vote margin (1 jaywalking vs 2 compliant, min_req=2)",4.107,data/raw_clips/video_0240.mp4,
video_0241,video_0241.mp4,compliant,jaywalking,False,FP,medium,"Vote margin (2 jaywalking vs 1 compliant, min_req=2)",4.122,data/raw_clips/video_0241.mp4,
video_0251,video_0251.mp4,compliant,compliant,True,CORRECT,medium,"Vote margin (1 jaywalking vs 2 compliant, min_req=2)",4.138,data/raw_clips/video_0251.mp4,
video_0297,video_0297.mp4,compliant,jaywalking,False,FP,high,"Vote margin (3 jaywalking vs 0 compliant, min_req=2)",4.231,data/raw_clips/video_0297.mp4,
video_0312,video_0312.mp4,compliant,compliant,True,CORRECT,high,"Vote margin (0 jaywalking vs 3 compliant, min_req=2)",4.127,data/raw_clips/video_0312.mp4,
video_0314,video_0314.mp4,compliant,compliant,True,CORRECT,high,"Vote margin (0 jaywalking vs 3 compliant, min_req=2)",4.115,data/raw_clips/video_0314.mp4,
video_0322,video_0322.mp4,compliant,jaywalking,False,FP,medium,"Vote margin (2 jaywalking vs 1 compliant, min_req=2)",4.141,data/raw_clips/video_0322.mp4,
video_0328,video_0328.mp4,jaywalking,jaywalking,True,CORRECT,high,"Vote margin (3 jaywalking vs 0 compliant, min_req=2)",4.085,data/raw_clips/video_0328.mp4,
video_0336,video_0336.mp4,jaywalking,jaywalking,True,CORRECT,high,"Vote margin (3 jaywalking vs 0 compliant, min_req=2)",4.142,data/raw_clips/video_0336.mp4,
